station_name,lat,long
 Sloat Blvd at The Great Highway to 46th Ave,37.7353250708,-122.505314071
10th Ave at E 15th St,37.7927099604,-122.24878491
10th Ave at Irving St,37.7642237418,-122.467377409
10th St at Chestnut St,37.8063553,-122.2860187
10th St at Empire St,37.3494314115,-121.887623973
10th St at Fallon St,37.7976702243,-122.262997545
10th St at Mission St,37.3556926512,-121.892251074
10th St at University Ave,37.8690742472,-122.293421783
11th St at Bryant St,37.7700298913,-122.411728844
11th St at Natoma St,37.7735050292,-122.416033987
13th St at Webster St,37.802688402,-122.269146368
14th Ave at Geary Blvd,37.7803690198,-122.472809265
14th St at Filbert St,37.8087498347,-122.28328228
14th St at Mandela Pkwy,37.8107375057,-122.291423128
14th St at Mission St,37.768228792,-122.420357696
15th St at Potrero Ave,37.767078545,-122.407359852
15th St at Valencia St,37.7665997479,-122.421861684
16th St Mission BART North,37.764838875,-122.420139762
16th St Mission BART South,37.7646848545,-122.419926547
16th St at Prosper St,37.7642844626,-122.431801141
17th Ave at Geary Blvd,37.7807232976,-122.476109628
17th St at Dolores St,37.7630183873,-122.42650405
17th St at Santa Clara St,37.343984678,-121.87438488
17th St at Valencia St,37.7633321246,-122.422060008
18th Ave at California St,37.7851099352,-122.477666424
18th St at Noe St,37.7610492387,-122.43263471
19th St at Florida St,37.7604507617,-122.410789021
19th St at Mission St,37.7602796026,-122.419068618
19th St at William St,37.3384680141,-121.866520643
19th Street BART,37.8093705157,-122.267949204
1st St at Folsom St,37.7872823775,-122.394375692
1st St at Younger Ave,37.3550295823,-121.90443635
20th St at Bryant St,37.7591627684,-122.410046887
20th St at Dolores St,37.7582392195,-122.426095319
2100 Powell St,37.8395430827,-122.298717722
21st Ave at Noriega St,37.7543065893,-122.478593044
21st St at 5th Ave,37.8004603522,-122.247459132
21st St at Valencia St,37.7568845126,-122.420908145
22nd St Caltrain Station,37.7577038448,-122.391885808
22nd St at Dolores St,37.7549807557,-122.425784877
22nd St at Potrero Ave,37.7568082774,-122.405947673
22nd St at Valencia St,37.7552793199,-122.421141743
22nd St at William St,37.3398531,-121.8636494
23rd Ave at Clement St,37.7819309415,-122.482785991
23rd Ave at Foothill Blvd,37.7851915,-122.2343822
23rd St at San Bruno Ave,37.7545219397,-122.404052037
23rd St at Santa Clara St,37.3464802937,-121.868569602
23rd St at Taylor St,37.360001391,-121.878778338
23rd St at Telegraph Ave,37.8125809363,-122.26857312
23rd St at Tennessee St,37.7553692856,-122.388788423
24th Ave at Quintara St,37.7486281223,-122.481541029
24th St BART,37.7519912192,-122.418979694
24th St at Chattanooga St,37.7517449374,-122.426464467
24th St at Market St,37.8160598,-122.2782444
25th Ave at Irving St,37.7634456279,-122.483553721
26th Ave at Clement St,37.7817600515,-122.486026353
26th Ave at International Blvd,37.781123,-122.2329915
26th Ave at Noriega St,37.7540421938,-122.484039729
26th St at Broadway,37.8148199788,-122.264229187
27th St at San Pablo Ave,37.8178861054,-122.275958521
29th St at Church St,37.7436831486,-122.426810822
29th St at Tiffany Ave,37.7440649308,-122.421478577
2nd Ave at E 18th St,37.800210514,-122.253812707
2nd St at Folsom St,37.7851946227,-122.396220996
2nd St at Julian St,37.3411326293,-121.892845182
2nd St at Townsend St,37.7805205106,-122.390289256
30th Ave,37.7708603619,-122.490003652
30th Ave at Noriega St,37.7539298559,-122.488344785
30th St at San Jose Ave,37.7423211375,-122.423153441
32nd St at Adeline St,37.8238474,-122.2811926
34th Ave at Balboa St,37.775682682,-122.494055169
34th St at Telegraph Ave,37.8224675793,-122.265971639
36th Ave at Irving St,37.7629054255,-122.49539174
36th Ave at Kirkham St,37.7588995843,-122.495131294
36th Ave at Spreckels Lake Dr,37.7715849235,-122.495772238
37th Ave at Ortega St,37.7517341776,-122.495600604
37th Ave at Rivera St,37.7461183895,-122.495206518
37th St at West St,37.8266957522,-122.27179479
38th Ave at Balboa St,37.775520273,-122.498496539
3rd St at Keyes St,37.3208795532,-121.876283544
3rd St at King St,37.7778928475,-122.391411006
40th St at Piedmont Ave,37.8257854321,-122.253469795
41st Ave at Irving St,37.7626518375,-122.50077817
43rd Ave at Lawton St,37.7569788498,-122.502545206
45th Ave at Noriega St,37.7528114107,-122.504263403
45th St at MLK Jr Way,37.8335534829,-122.267410119
45th St at Manila,37.8332933038,-122.256221872
47th St at San Pablo Ave,37.8356702993,-122.281123082
48th Ave at Cabrillo St,37.7729539821,-122.509070953
4th Ave at E 12th St,37.7959220313,-122.255539753
4th St at 16th St,37.7670466335,-122.390837121
4th St at Gene Friend Way,37.7688711502,-122.391107116
4th St at Harrison St,37.7815402766,-122.400418611
4th St at Long Bridge St,37.7737520873,-122.39143475
4th St at Mission Bay Blvd S,37.7703144335,-122.391236125
4th St at San Carlos St,37.3327991195,-121.883850792
52nd St at MLK Jr Way,37.8373653902,-122.267652721
53rd St at Hollis St,37.8361838775,-122.287174584
55th St at Telegraph Ave,37.8401836267,-122.261819398
59th St at Horton St,37.8409452,-122.2913604
5th Ave at Anza St,37.7794933458,-122.463144501
5th St at Howard St,37.7813007605,-122.404836623
5th St at San Salvador St,37.3320382815,-121.881765028
5th St at Taylor St,37.3509017927,-121.895842552
5th St at Virginia St,37.3259969706,-121.877119673
62nd St at Claremont Ave,37.8494355,-122.2525406
65th St at Hollis St,37.846783679,-122.29137489
6th Ave at E 12th St,37.7943962642,-122.253840527
7th Ave at Cabrillo St,37.7751210326,-122.464998012
7th Ave at Clement St,37.7824350229,-122.465381414
7th Ave at Irving St,37.7634362586,-122.464065965
7th Ave at Lawton St,37.7587069303,-122.463772776
7th St at Empire St,37.3477119818,-121.890553236
7th St at King St,37.77123236,-122.400889585
8th Ave at JFK Dr,37.7729078293,-122.465931311
8th St at Brannan St,37.7714344973,-122.405786838
8th St at Hooper St,37.7672534686,-122.400324816
8th St at Ringold St,37.7745099816,-122.409462494
9th Ave at Geary Blvd,37.7818364377,-122.467636282
9th St at San Fernando St,37.3383952,-121.8807965
Addison St at California St,37.8697270347,-122.279385073
Addison St at Fourth St,37.8662503307,-122.299364316
Adeline St at 40th St,37.8312648159,-122.278274397
Alameda St at Henry Adams St,37.7685456876,-122.404231642
Alamo Square,37.777561113,-122.433274304
Alcatraz Ave at Shattuck Ave,37.8495939159,-122.265571503
Alemany Blvd at Francis St,37.7273951,-122.4354739
Alemany Blvd at Ocean Ave,37.7232659985,-122.437825276
Alemany Blvd at Silver Ave,37.7301724103,-122.43290493
Allyne Park,37.7972478223,-122.427463212
Almaden Blvd at Balbach St,37.3268469992,-121.889200744
Almaden Blvd at San Fernando St,37.331415,-121.8932
Anza St at 19th Ave,37.7785565565,-122.477989155
Anza St at Collins St,37.7806774978,-122.450042409
Arguello Blvd at Edward St,37.7784940291,-122.458644083
Arguello Blvd at Geary Blvd,37.7814711556,-122.458803419
Arlington St at Roanoke St,37.734964615,-122.429774234
Asbury St at The Alameda,37.3380223131,-121.919478178
Ashby BART,37.8524773249,-122.270213185
Ashton Ave at Holloway Ave,37.7216198962,-122.462328128
Autumn Parkway at Coleman Ave,37.3413343196,-121.903184002
Auzerais Ave at Lincoln Ave,37.3209685315,-121.908296049
Auzerais Ave at Los Gatos Creek Trail,37.3211818343,-121.903089881
Backesto Park,37.3528868273,-121.886049807
Balboa Park,37.7248823168,-122.443251953
Balboa Park BART,37.7228186,-122.447239089
Balboa Park BART 2,37.7206319015,-122.447547786
Bancroft Way at College Ave,37.8693944219,-122.254330195
Bancroft Way at Telegraph Ave,37.868910888,-122.258785879
Battery St at Filbert St,37.8020533618,-122.40171535
Bay Pl at Vernon St,37.8122470552,-122.260718073
Bay St at Fillmore St,37.802663642,-122.436033767
Bay Street Plaza,37.8345741081,-122.29206176
Beale St at Harrison St,37.787938979,-122.391809794
Berkeley Civic Center,37.8690601656,-122.270558805
Berry St at 4th St,37.7759920038,-122.393008855
Berry St at King St,37.7717721121,-122.398427401
Berryessa BART,37.365086278,-121.871619636
Bestor Art Park,37.3236779,-121.8741186
Bird Ave at Coe Ave,37.31515793,-121.897832751
Bird Ave at Willow St,37.3112754664,-121.89631958
Bond St at High St,37.7741525643,-122.212398201
Bowling Green,37.7687390306,-122.459429799
Brannan St at 4th St,37.7779357633,-122.396970692
Brannan St at 7th St,37.7724400741,-122.403922445
Brannan St at Colin P Kelly Jr St,37.7822568186,-122.391480732
Brannan St at Harriet St,37.7742570142,-122.40184734
Brazil Ave at La Grande Ave,37.7202308778,-122.425286954
Brighton Ave at Ocean Ave,37.7234279509,-122.455102916
Broadway at 30th St,37.8193814,-122.2619284
Broadway at 40th St,37.8277602934,-122.256714964
Broadway at Battery St,37.7985737924,-122.400869004
Broadway at Coronado Ave,37.8357883,-122.2516207
Broadway at Kearny St,37.7980024257,-122.40595129
Brockhurst St at San Pablo Ave,37.823523555,-122.277188133
Broderick St at Oak St,37.773068229,-122.439083316
Brooklyn Basin,37.7874402763,-122.255553612
Bryant St at 2nd St,37.7831825587,-122.393380015
Bryant St at 6th St,37.7758336575,-122.402690741
Buchanan St at Lombard St,37.8004993291,-122.43276284
Buchanan St at North Point St,37.8044323945,-122.433522523
Bush St at Leavenworth St,37.7894229515,-122.41517495
Bushrod Park,37.8465153937,-122.265304067
Byxbee St at Shields St,37.717792,-122.469903
Cahill Park,37.3291185149,-121.904577464
Cambon Dr at Castelo Ave,37.7176850856,-122.474317755
Carl St at Cole St,37.7659487221,-122.449227287
Carroll Ave at 3rd St,37.725372,-122.393954
Castro St at Jersey St,37.7507278882,-122.434019476
Cesar Chavez St at Dolores St,37.74785516,-122.424991415
Chain O' Lakes,37.76781983,-122.5018675
Channing Way at San Pablo Ave,37.8628151947,-122.290306004
Channing Way at Shattuck Ave,37.8658474121,-122.267440848
Chestnut St at Van Ness Ave,37.8023011498,-122.424414353
China Basin St at 3rd St,37.7720030407,-122.389978096
Church St at Duboce Ave,37.7698175424,-122.429147934
Civic Center BART,37.7810735388,-122.41173625
Clay St at Battery St,37.7950010644,-122.399971915
Clay St at Lyon St,37.7892820184,-122.44507188
Clement St at 32nd Ave,37.7817220466,-122.492843363
College Ave at Alcatraz Ave,37.8513755551,-122.252522935
College Ave at Bryant Ave,37.8381349029,-122.251270658
College Ave at Taft Ave,37.8417999,-122.2515349
Columbia Ave at Bird Ave,37.3241259512,-121.899719685
Commercial St at Montgomery St,37.7942439373,-122.402854477
Cortland Ave at Wool St,37.7390840821,-122.417312829
Crissy Field Overlook,37.8043395357,-122.469771823
Crocker-Amazon Playground,37.7131865638,-122.433406315
Cruise Terminal at Pier 27,37.804645621,-122.402083702
Cyril Magnin St at Ellis St,37.7858731644,-122.408914768
Daly City BART,37.7078260809,-122.468035587
Davis St at Jackson St,37.7972805876,-122.398436761
DeFremery Park,37.8123315,-122.2851712
Delancey St at Brannan St,37.7838410085,-122.390023781
Delano Ave at Oneida Ave,37.7223894956,-122.443799776
Delmas Ave and San Fernando St,37.3302609061,-121.897699073
Delmas Ave at Virginia St,37.3199879862,-121.893220437
Derby St at College Ave,37.8617595525,-122.253677266
Detroit St at Hearst Ave,37.7306514998,-122.444306116
Devine St at San Pedro St,37.3386689378,-121.895647366
Divisadero St at Clay St,37.7895904621,-122.440681966
Divisadero St at Lombard St,37.7991808367,-122.442732693
Division St at Potrero Ave,37.7692631805,-122.407053279
Dolores St at 15th St,37.7661010888,-122.426659291
Dover St at 57th St,37.8426295,-122.267738
Downtown Berkeley BART,37.8701397875,-122.268422144
Doyle St at 59th St,37.8419238,-122.2880451
Drumm St at Market St,37.7935281148,-122.396470437
Duboce Park,37.7690497792,-122.433591153
Egbert Ave at Jennings St,37.7226040158,-122.392279083
El Embarcadero at Grand Ave,37.8087153418,-122.2492518
Ellis St at Pierce St,37.7819885112,-122.435745962
Ellsworth St at Russell St,37.8576077043,-122.261604856
Embarcadero BART,37.7922434016,-122.397092135
Emeryville Public Market,37.8405131918,-122.293531799
Emeryville Town Hall,37.831274817,-122.285632182
Empire St at 1st St,37.3448821,-121.8969655
Esprit Park,37.7616332222,-122.390658746
Eucalyptus Dr at 20th Ave,37.7310846783,-122.476163041
Euclid Ave at Hearst Ave,37.875320863,-122.260156228
Eureka Valley Recreation Center,37.7592118481,-122.436797664
Evans Ave at Mendell St,37.7400484203,-122.383437299
Evans Ave at Newhall St,37.7420831496,-122.386611698
Farnam St at Fruitvale Ave,37.778058,-122.2254
Father Alfred E Boeddeker Park,37.7840779338,-122.411926232
Fell St at Clayton St,37.7725643193,-122.448902736
Fell St at Stanyan St,37.7719503995,-122.453719737
Fifth St at Delaware St,37.8704090206,-122.299677256
Fillmore St at Jefferson St,37.8053688313,-122.437259146
Firmware Test Charging Internal Howard ,37.7746,-122.414
Folsom St at 13th St,37.7702832419,-122.415458636
Folsom St at 15th St,37.7670398568,-122.415443901
Folsom St at 19th St,37.7605973794,-122.414816517
Folsom St at Main St,37.7890782296,-122.392179299
Font Blvd at Arballo Dr,37.722001,-122.482735
Foothill Blvd at Fruitvale Ave,37.7837569,-122.2226033
Foothill Blvd at Harrington Ave,37.77993,-122.2177284
Forest Hill Muni Station,37.7481741275,-122.459198949
Fountain Alley at S 2nd St,37.3361877298,-121.889277297
Francisco St at Columbus Ave,37.8044536189,-122.415790249
Frank H Ogawa Plaza,37.804562539,-122.271736314
Franklin Square,37.7645426971,-122.410348265
Franklin St at 13th St,37.8030301927,-122.270497057
Franklin St at 9th St,37.8005161,-122.2720799
Frederick St at Arguello Blvd,37.7657888087,-122.457621112
Frida Kahlo Way at Cloud Cir,37.7254771918,-122.452286474
Front St at California St,37.7930964344,-122.398824999
Fruitvale BART,37.7752394688,-122.224514392
Fulton St at Ashby Ave,37.8555720406,-122.263564639
Fulton St at Bancroft Way,37.8681355419,-122.265936774
Fulton St at Laguna St,37.7783417188,-122.426377922
Funston Ave at Clement St,37.7824405813,-122.471986918
Funston Ave at Fulton St,37.773582529,-122.471355405
Funston Ave at Irving St,37.7639385772,-122.470652164
Garfield Square,37.7509456261,-122.412083388
Gennessee St at Monterey Blvd,37.73165669,-122.451121509
Genoa St at 55th St,37.8396492071,-122.27175682
George St at 1st St,37.3475925744,-121.899662018
Gish Rd at 1st St,37.3618710897,-121.909308907
Glen Park BART,37.7328144074,-122.434140735
Goettingen St at Bacon St,37.7269988305,-122.406614723
Golden Gate Ave at Franklin St,37.7808099535,-122.421904189
Golden Gate Ave at Polk St,37.7813619277,-122.418527064
Grand Ave at Perkins St,37.8088943438,-122.256464525
Grand Ave at Santa Clara Ave,37.812744938,-122.247216654
Grand Ave at Webster St,37.8113758021,-122.265189423
Grant Ave at Sutter St,37.7897149411,-122.405481148
Great Highway at Balboa St,37.7752129235,-122.511207791
Great Highway at Judah St,37.760522275,-122.509508501
Great Highway at Noriega St,37.7530052023,-122.508540405
Great Highway at Taraval St,37.7418501007,-122.507059235
Green St at Van Ness Ave,37.7976330852,-122.423523204
Greenwich St at Franklin St,37.80028418,-122.425788425
Greenwich St at Webster St,37.799206366,-122.434117551
